essay_id,total_score,W_ratio_A1,W_ratio_A,W_ratio_B,W_ratio_C,W_ratio_AboveB1,W_mean_score,W_n
TR3*0100*2000*02_A1,28.0,0.5492957746478874,0.7605633802816901,0.23943661971830985,0.0,0.23943661971830985,1.732394366197183,71
TR3*0100*2000*02_A2,28.0,0.5607476635514018,0.7383177570093458,0.24299065420560748,0.018691588785046728,0.2616822429906542,1.794392523364486,107
TR4*0100*2000*02_A1,32.0,0.64,0.864,0.12,0.016,0.136,1.552,125
TR4*0100*2000*02_A3,32.0,0.5283018867924528,0.6886792452830188,0.29245283018867924,0.018867924528301886,0.3113207547169811,1.9528301886792452,106
TR13*0100*2000*02_A1,21.0,0.5921052631578947,0.8947368421052632,0.10526315789473684,0.0,0.10526315789473684,1.5263157894736843,76
TR13*0100*2000*02_A2,21.0,0.6486486486486487,0.8378378378378378,0.16216216216216217,0.0,0.16216216216216217,1.554054054054054,74
TR15*0100*2000*02_A1,23.0,0.5342465753424658,0.7671232876712328,0.1643835616438356,0.0684931506849315,0.2328767123287671,1.917808219178082,73
TR15*0100*2000*02_A4,23.0,0.65625,0.84375,0.11458333333333333,0.041666666666666664,0.15625,1.65625,96
TR78*0100*2000*02_A1,28.0,0.6197183098591549,0.8309859154929577,0.1267605633802817,0.04225352112676056,0.16901408450704225,1.647887323943662,71
TR78*0100*2000*02_A4,28.0,0.7023809523809523,0.8452380952380952,0.15476190476190477,0.0,0.15476190476190477,1.4761904761904763,84
TR421*0100*2000*02_A1,28.0,0.7272727272727273,0.8909090909090909,0.08181818181818182,0.02727272727272727,0.10909090909090909,1.4727272727272727,110
TR421*0100*2000*02_A3,28.0,0.6951219512195121,0.8780487804878049,0.10975609756097561,0.012195121951219513,0.12195121951219512,1.4634146341463414,82
TR423*0100*2000*02_A1,30.0,0.5806451612903226,0.8387096774193549,0.16129032258064516,0.0,0.16129032258064516,1.5806451612903225,62
TR423*0100*2000*02_A3,30.0,0.5679012345679012,0.7160493827160493,0.2716049382716049,0.012345679012345678,0.2839506172839506,1.8271604938271604,81
TR424*0100*2000*02_A1,29.0,0.6447368421052632,0.8289473684210527,0.17105263157894737,0.0,0.17105263157894737,1.5526315789473684,76
TR424*0100*2000*02_A4,29.0,0.7288135593220338,0.8983050847457628,0.09322033898305085,0.00847457627118644,0.1016949152542373,1.4322033898305084,118
TR449*0100*2000*02_A1,35.0,0.5945945945945946,0.8108108108108109,0.17567567567567569,0.013513513513513514,0.1891891891891892,1.662162162162162,74
TR449*0100*2000*02_A4,35.0,0.6296296296296297,0.7962962962962963,0.2037037037037037,0.0,0.2037037037037037,1.6481481481481481,108
TR505*0100*2000*02_A1,26.0,0.5641025641025641,0.782051282051282,0.21794871794871795,0.0,0.21794871794871795,1.6923076923076923,78
TR505*0100*2000*02_A3,26.0,0.6,0.819047619047619,0.1523809523809524,0.02857142857142857,0.18095238095238095,1.6857142857142857,105
TR509*0100*2000*02_A1,25.0,0.6623376623376623,0.9090909090909091,0.07792207792207792,0.012987012987012988,0.09090909090909091,1.4675324675324675,77
TR509*0100*2000*02_A4,25.0,0.773109243697479,0.9663865546218487,0.03361344537815126,0.0,0.03361344537815126,1.26890756302521,119
TR520*0100*2000*02_A1,37.0,0.5909090909090909,0.7954545454545454,0.17045454545454544,0.03409090909090909,0.20454545454545456,1.7272727272727273,88
TR520*0100*2000*02_A4,37.0,0.6373626373626373,0.8351648351648352,0.15384615384615385,0.01098901098901099,0.16483516483516483,1.5934065934065933,91
TR521*0100*2000*02_A1,24.0,0.6621621621621622,0.8918918918918919,0.10810810810810811,0.0,0.10810810810810811,1.4594594594594594,74
TR521*0100*2000*02_A3,24.0,0.75,0.8214285714285714,0.16071428571428573,0.017857142857142856,0.17857142857142858,1.4821428571428572,56
TR522*0100*2000*02_A1,32.0,0.6095238095238096,0.8571428571428571,0.11428571428571428,0.02857142857142857,0.14285714285714285,1.619047619047619,105
TR522*0100*2000*02_A2,32.0,0.6063829787234043,0.851063829787234,0.14893617021276595,0.0,0.14893617021276595,1.5851063829787233,94
TR524*0100*2000*02_A1,27.0,0.7079646017699115,0.8761061946902655,0.10619469026548672,0.017699115044247787,0.12389380530973451,1.4778761061946903,113
TR524*0100*2000*02_A2,27.0,0.5494505494505495,0.7032967032967034,0.26373626373626374,0.03296703296703297,0.2967032967032967,1.8571428571428572,91
TR529*0100*2000*02_A1,30.0,0.5465116279069767,0.7558139534883721,0.22093023255813954,0.023255813953488372,0.2441860465116279,1.813953488372093,86
TR529*0100*2000*02_A2,30.0,0.618421052631579,0.7105263157894737,0.27631578947368424,0.013157894736842105,0.2894736842105263,1.7894736842105263,76
TR531*0100*2000*02_A1,21.0,0.7205882352941176,0.9117647058823529,0.07352941176470588,0.014705882352941176,0.08823529411764706,1.411764705882353,68
TR531*0100*2000*02_A3,21.0,0.671875,0.859375,0.109375,0.03125,0.140625,1.5625,64
TR533*0100*2000*02_A1,26.0,0.6125,0.825,0.125,0.05,0.175,1.7,80
TR533*0100*2000*02_A4,26.0,0.6632653061224489,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285,1.510204081632653,98
TR538*0100*2000*02_A1,23.0,0.6666666666666666,0.8796296296296297,0.1111111111111111,0.009259259259259259,0.12037037037037036,1.5,108
TR538*0100*2000*02_A2,23.0,0.6862745098039216,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,1.5,102
TR543*0100*2000*02_A1,35.0,0.618421052631579,0.8552631578947368,0.11842105263157894,0.02631578947368421,0.14473684210526316,1.605263157894737,76
TR543*0100*2000*02_A4,35.0,0.6923076923076923,0.8653846153846154,0.11538461538461539,0.019230769230769232,0.1346153846153846,1.5192307692307692,104
TR553*0100*2000*02_A4,29.0,0.8125,0.925,0.0625,0.0125,0.075,1.325,80
TR554*0100*2000*02_A1,27.0,0.5862068965517241,0.7931034482758621,0.1724137931034483,0.034482758620689655,0.20689655172413793,1.7241379310344827,87
TR554*0100*2000*02_A2,27.0,0.6216216216216216,0.7837837837837838,0.20270270270270271,0.013513513513513514,0.21621621621621623,1.6486486486486487,74
TR42*0100*2000*02_A1,25.0,0.7,0.8888888888888888,0.08888888888888889,0.022222222222222223,0.1111111111111111,1.4555555555555555,90
TR42*0100*2000*02_A4,25.0,0.7168141592920354,0.9380530973451328,0.061946902654867256,0.0,0.061946902654867256,1.345132743362832,113
TR50*0100*2000*02_A1,19.0,0.6060606060606061,0.8333333333333334,0.15151515151515152,0.015151515151515152,0.16666666666666666,1.621212121212121,66
TR50*0100*2000*02_A3,19.0,0.6486486486486487,0.7567567567567568,0.22972972972972974,0.013513513513513514,0.24324324324324326,1.6891891891891893,74
TR54*0100*2000*02_A1,31.0,0.7083333333333334,0.8854166666666666,0.09375,0.020833333333333332,0.11458333333333333,1.4791666666666667,96
